Vermont: 1.9
New Jersey: 2.0
New York: 2.1
Mississippi: 2.1
Connecticut: 2.4
Rhode Island: 2.5
Alaska: 2.6
Massachusetts: 3.1
Maine: 3.1
Washington: 3.1
Hawaii: 3.2
Pennsylvania: 3.2
New Hampshire: 3.2
Florida: 3.3
California: 3.6
Oregon: 3.6
Utah: 3.6
North Dakota: 3.6
Minnesota: 3.7
Montana: 3.8
Idaho: 3.8
Maryland: 3.9
Wisconsin: 4.0
Michigan: 4.0
Colorado: 4.0
Wyoming: 4.1
Delaware: 4.1
Virginia: 4.3
South Dakota: 4.3
New Mexico: 4.3
Texas: 4.3
Louisiana: 4.4
Illinois: 4.5
North Carolina: 4.5
Arizona: 4.6
Iowa: 4.7
Kansas: 4.7
Arkansas: 4.7
Ohio: 4.7
Nevada: 4.7
Kentucky: 4.8
South Carolina: 4.9
Missouri: 4.9
Georgia: 4.9
Washington, DC: 5.0
Indiana: 5.0
Tennessee: 5.2
Oklahoma: 5.3
West Virginia: 5.3
Nebraska: 5.4
Alabama: 6.3
