State	Value
Alabama	772
Alaska	1,231
Arizona	1,009
Arkansas	729
California	1,429
Colorado	1,196
Connecticut	1,156
Delaware	1,110
District of Columbia	1,487
Florida	1,128
Georgia	968
Hawaii	1,566
Idaho	825
Illinois	984
Indiana	807
Iowa	766
Kansas	831
Kentucky	741
Louisiana	850
Maine	831
Maryland	1,357
Massachusetts	1,225
Michigan	850
Minnesota	944
Mississippi	762
Missouri	809
Montana	783
Nebraska	805
Nevada	1,060
New Hampshire	1,077
New Jersey	1,295
New Mexico	828
New York	1,240
North Carolina	877
North Dakota	806
Ohio	788
Oklahoma	793
Oregon	1,050
Pennsylvania	915
Rhode Island	981
South Carolina	868
South Dakota	722
Tennessee	841
Texas	998
Utah	988
Vermont	972
Virginia	1,202
Washington	1,194
West Virginia	711
Wisconsin	837
Wyoming	843
