State	Value
Alabama	48,486
Alaska	76,715
Arizona	56,213
Arkansas	45,726
California	71,228
Colorado	68,811
Connecticut	76,106
Delaware	65,627
District of Columbia	82,604
Florida	53,267
Georgia	55,679
Hawaii	78,084
Idaho	53,089
Illinois	63,575
Indiana	54,325
Iowa	58,580
Kansas	57,422
Kentucky	48,392
Louisiana	47,942
Maine	55,425
Maryland	81,868
Massachusetts	77,378
Michigan	54,938
Minnesota	68,411
Mississippi	43,567
Missouri	53,560
Montana	52,559
Nebraska	59,116
Nevada	57,598
New Hampshire	74,057
New Jersey	79,363
New Mexico	48,059
New York	65,323
North Carolina	52,413
North Dakota	63,473
Ohio	54,533
Oklahoma	51,424
Oregon	59,393
Pennsylvania	59,445
Rhode Island	63,296
South Carolina	51,015
South Dakota	56,499
Tennessee	50,972
Texas	59,570
Utah	68,374
Vermont	60,076
Virginia	71,564
Washington	70,116
West Virginia	44,921
Wisconsin	59,209
Wyoming	62,268
