State	Value
Alabama	24.9
Alaska	29.2
Arizona	28.9
Arkansas	22.6
California	33.3
Colorado	40.1
Connecticut	38.9
Delaware	31.4
District of Columbia	57.6
Florida	29.2
Georgia	30.7
Hawaii	32.5
Idaho	26.9
Illinois	34.1
Indiana	25.9
Iowa	28.2
Kansas	32.9
Kentucky	23.6
Louisiana	23.7
Maine	30.9
Maryland	39.6
Massachusetts	42.9
Michigan	28.6
Minnesota	35.4
Mississippi	21.8
Missouri	28.6
Montana	31.2
Nebraska	31.3
Nevada	24.2
New Hampshire	36.5
New Jersey	38.9
New Mexico	27.1
New York	35.9
North Carolina	30.5
North Dakota	29.5
Ohio	27.8
Oklahoma	25.2
Oregon	32.9
Pennsylvania	30.8
Rhode Island	33.3
South Carolina	27.4
South Dakota	28.5
Tennessee	26.6
Texas	29.3
Utah	33.3
Vermont	37.3
Virginia	38.2
Washington	35.3
West Virginia	20.3
Wisconsin	29.5
Wyoming	26.9
