Hawaii: 19.0
Colorado: 20.3
Montana: 23.5
California: 23.9
Massachusetts: 24.0
Idaho: 24.2
South Dakota: 24.6
New York: 24.7
Minnesota: 24.8
Connecticut: 24.9
Utah: 25.1
Oregon: 25.1
Washington: 25.5
Maine: 25.9
Florida: 26.0
New Jersey: 26.2
Arizona: 26.3
Maryland: 26.6
Nevada: 26.8
Vermont: 26.8
Georgia: 27.1
New Hampshire: 27.1
Virginia: 27.2
Alaska: 27.2
Illinois: 27.3
Wyoming: 27.4
Rhode Island: 27.9
New Mexico: 28.0
North Carolina: 28.3
Tennessee: 28.4
Delaware: 28.5
North Dakota: 28.6
Pennsylvania: 28.6
South Carolina: 28.6
Nebraska: 28.8
Wisconsin: 28.8
Kansas: 29.3
Texas: 29.7
Ohio: 29.9
Michigan: 30.8
Missouri: 30.9
Iowa: 31.1
Indiana: 31.4
Kentucky: 31.5
Alabama: 32.1
Oklahoma: 32.6
Arkansas: 33.0
Louisiana: 33.2
West Virginia: 34.3
Mississippi: 35.2
