State	Value
Alabama	12.0
Alaska	14.3
Arizona	12.7
Arkansas	9.8
California	8.3
Colorado	8.6
Connecticut	6.2
Delaware	6.8
District of Columbia	3.5
Florida	16.0
Georgia	15.7
Hawaii	4.9
Idaho	13.2
Illinois	8.1
Indiana	9.7
Iowa	5.6
Kansas	10.3
Kentucky	6.7
Louisiana	9.3
Maine	10.0
Maryland	6.9
Massachusetts	3.2
Michigan	6.4
Minnesota	5.1
Mississippi	14.4
Missouri	11.2
Montana	10.0
Nebraska	9.7
Nevada	13.0
New Hampshire	6.9
New Jersey	8.7
New Mexico	11.4
New York	6.3
North Carolina	12.7
North Dakota	8.4
Ohio	7.7
Oklahoma	16.7
Oregon	8.4
Pennsylvania	6.7
Rhode Island	4.8
South Carolina	12.7
South Dakota	11.6
Tennessee	12.0
Texas	20.0
Utah	10.5
Vermont	4.9
Virginia	10.2
Washington	7.5
West Virginia	7.9
Wisconsin	6.5
Wyoming	12.5
